"PPN"	"EPN"	"Jahr"	"Titel+Zusatz"	"Verfasser"	"Ort+Verlag"	"Umfang"	"Basisklassifikation"	"Schlagwort"	"ExKommentar4802"	"Schlagwort6800"	"Abrufzeichen8600"	"Signatur"	"Standort"	"URL"	
"1738250016"	"3794017463"	"1933"	"Isola di Caso"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5808"	"1:KTA"	""	
"1348303514"	"4319081463"	"1933"	"Ankara"	""	"[Ankara]"	"1 Kt."	""	""	""	""	""	"Kart. D 4684-3<1933>"	"1:KTA"	""	
"1348302305"	"4319081269"	"1933"	"Istanbul"	""	"[Ankara]"	"1 Kt."	""	""	""	""	""	"Kart. D 4684-1<1933>"	"1:KTA"	""	
"1348300752"	"4319081366"	"1933"	"Izmir"	""	"[Ankara]"	"1 Kt."	""	""	""	""	""	"Kart. D 4684-2<1933>"	"1:KTA"	""	
"1348299568"	"4319081617"	"1933"	"Konya"	""	"[Ankara]"	"1 Kt."	""	""	""	""	""	"Kart. D 4684-4<1933>"	"1:KTA"	""	
"1323691537"	"3923355653"	"1933"	"Jaffa-Nablous"	""	"Paris : Service Géographique de l'Armée"	"1 Karte"	""	""	""	""	""	"Kart. D 7331"	"1:KTA"	""	
"1024248100"	"1777043255"	"1933"	"The Middle East"	""	"Edinburgh : John Bartholomew and Son"	"1 map"	""	""	""	""	""	"Kart. D 4683"	"1:KTA"	""	
"1020049162"	"1768201900"	"1933"	"Asia and adjacent regions"	""	"Washington, D.C."	"1 Karte"	""	""	""	""	""	"Kart. D 1036"	"1:KTA"	""	
"829351183"	"1552396525"	"1933"	"Beyrouth : N.-O. N.-E."	""	"[Paris] : Service géographique de l'Armée"	"1 Kt."	""	""	""	""	""	"Kart. D 6759-Beyrouth,N<1933>"	"1:KTA"	""	
"829345884"	"1552384268"	"1933"	"Jaffa - Nablous"	""	"[Beyrouth]"	"1 Kt."	""	""	""	""	""	"Kart. D 6758-52<1933>"	"1:KTA"	""	
"829345558"	"1552383881"	"1933"	"Tripoli : (Taraboulouz-Cham)"	""	"[Beyrouth]"	"1 Kt."	""	""	""	""	""	"Kart. D 6758-36<1933>"	"1:KTA"	""	
"829345477"	"1552383741"	"1933"	"Hama"	""	"[Beyrouth]"	"1 Kt."	""	""	""	""	""	"Kart. D 6758-30<1933>"	"1:KTA"	""	
"829345167"	"1552383180"	"1933"	"Latakia"	""	"[Beyrouth]"	"1 Kt."	""	""	""	""	""	"Kart. D 6758-29<1933>"	"1:KTA"	""	
"829151745"	"1552013049"	"1933"	"Hamidieh"	""	"Paris"	"1 Kt."	""	""	""	""	""	"Kart. D 6764-NI,37,18,4b<1933>"	"1:KTA"	""	
"829150323"	"1552010023"	"1933"	"Halba"	""	"Paris"	"1 Kt."	""	""	""	""	""	"Kart. D 6764-NI,37,13,3a<1933>"	"1:KTA"	""	
"829143149"	"1551995301"	"1933"	"Tripoli"	""	"Paris"	"1 Kt."	""	""	""	""	""	"Kart. D 6764-NI,36,18,2d<1933>"	"1:KTA"	""	
"829143041"	"1551995158"	"1933"	"Batroun"	""	"Paris"	"1 Kt."	""	""	""	""	""	"Kart. D 6764-NI,36,18,2c<1933>"	"1:KTA"	""	
"812792157"	"1514707691"	"1933"	"Anah"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,18<1933>"	"1:KTA"	""	
"812791851"	"1514707063"	"1933"	"Abou-Kemal"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,17<1933>"	"1:KTA"	""	
"812790588"	"1514704811"	"1933"	"Damas"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,7<1933>"	"1:KTA"	""	
"588846694"	"3979452271"	"1933"	"Opisanie karty lensko-chatanskogo kraja po materialam Jakutskoj Ėkspedicii Akademii nauk SSSR"	""	"Leningrad : Vsesojuznyj arktičeskij Institut [u.a.]"	"1 Band (186 Seiten)"	""	""	""	""	""	"4'@Kart. D 3281"	"1:KTA"	""	
"506227677"	"3913772227"	"1933"	"Survey of Palestine motor map"	""	"[Jerusalem]"	"Kt"	""	""	""	""	""	"Kart. D 7147"	"1:KTA"	""	
"1833270819"	"4267562431"	"1932"	"Nahalál"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"102899320X: Nahalal ; ID: gnd/1164707183"	""	""	""	"Kart. D 7135-16,23"	"1:KTA"	""	
"1833268229"	"4267555338"	"1932"	"Haifa"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106306138: Haifa ; ID: gnd/4022958-0"	""	""	""	"Kart. D 7135-15,24"	"1:KTA"	""	
"1833268113"	"426755496X"	"1932"	"Dāliyat el Karmil"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-15,23"	"1:KTA"	""	
"183326164X"	"4267445559"	"1932"	"Carmel"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106306138: Haifa ; ID: gnd/4022958-0; 105857114: Karmel ; ID: gnd/4110021-9"	""	""	""	"Kart. D 7135-14,24"	"1:KTA"	""	
"1833261224"	"4267444684"	"1932"	"'Atlīt"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"703318470: Atlit ; ID: gnd/4292740-7"	""	""	""	"Kart. D 7135-14,23"	"1:KTA"	""	
"1833260929"	"4267444099"	"1932"	"Ijzim"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-14,22"	"1:KTA"	""	
"1833260678"	"4267443637"	"1932"	"Caesarea"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"10453575X: Caesarea Maritima ; ID: gnd/4088936-1"	""	""	""	"Kart. D 7135-14,21"	"1:KTA"	""	
"1809643155"	"4162901406"	"1932"	"Medwar"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-3,B<1934>"	"1:KTA"	""	
"1809643112"	"4162898596"	"1932"	"Boweida"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-2,B<1932>"	"1:KTA"	""	
"1809643031"	"4162892857"	"1932"	"Ramtha"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-1,B<1932>"	"1:KTA"	""	
"1809643007"	"4162892784"	"1932"	"Irbid"	""	"Amman : Dept. of Lands"	"1 Karte"	""	""	""	""	""	"Kart. D 6467-1,A<1932>"	"1:KTA"	""	
"1789517052"	"4056415358"	"1932"	"Troödos and the hill resortes : 1:63 360"	""	"[Großbritannien?] : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 6052"	"1:KTA"	""	
"1787335216"	"4045829776"	"1932"	"Survey of Cyprus motor map"	""	"[Southampton] : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 5998"	"1:KTA"	""	
"1787334554"	"4045817050"	"1932"	"Survey of Cyprus : administration map : compiled and drawn Cyprus 1932"	""	"Southampton : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 5999"	"1:KTA"	""	
"1744780196"	"3837416186"	"1932"	"Khartez Hagastani soc hoch : Hauzapetuthean"	""	"Eriwan : [Staatsverlag]"	"1 Karte auf 4 Blättern"	""	""	""	""	""	"Kart. D 6211"	"1:KTA"	""	
"1744776067"	"3837402843"	"1932"	"Übersichtskarte der Umgegend von Teheran"	""	"[S.l.]"	"1 Karte"	""	""	""	""	""	"Kart. D 9733"	"1:KTA"	""	
"1738267911"	"3794056833"	"1932"	"Isole di Ofidusa e Ponticusa"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5861/11"	"1:KTA"	""	
"1738264491"	"3794048814"	"1932"	"Isola di Stampalia"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5889"	"1:KTA"	""	
"1738264289"	"3794048415"	"1932"	"Isola di Sirina"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5886"	"1:KTA"	""	
"1738260208"	"379403922X"	"1932"	"Isola Nera"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5858"	"1:KTA"	""	
"1738259676"	"3794038169"	"1932"	"Isola di Levita"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5855"	"1:KTA"	""	
"1738258734"	"3794036093"	"1932"	"Isola di Gaidaro"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5813"	"1:KTA"	""	
"1738249441"	"3794015878"	"1932"	"Isola di Calolino"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5806"	"1:KTA"	""	
"173824914X"	"3794014545"	"1932"	"Isola di Calchi"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5805"	"1:KTA"	""	
"1048233588"	"1847096654"	"1932"	"China"	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 1020-34<1932>"	"1:KTA"	""	
"812793404"	"1514710641"	"1932"	"Beled Sindjar"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NJ,37,6<1932>"	"1:KTA"	""	
"812792483"	"151470837X"	"1932"	"Bouara"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,24<1932>"	"1:KTA"	""	
"812792386"	"151470823X"	"1932"	"Deir-ez-Zor"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,23<1932>"	"1:KTA"	""	
"812791010"	"1514705613"	"1932"	"Soueida"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,1<1932>"	"1:KTA"	""	
"537721231"	"3662143755"	"1932"	"Perse : carte physique, politique et economique"	"Girard, E."	"Paris : Forest"	"1 Karte"	""	""	""	""	""	"Kart. D 9379"	"1:KTA"	""	
"430902271"	"455646228"	"1932"	"Atlas de géographie économique de la Palestine : Khanzadian, Z[adig] ; Géographie historique, géographie physique, richesses naturelles, commerce et industrie"	"Khanzadian, Zadig *1884-* ; ID: gnd/123969549"	"[S.l.] : Selbstverl."	"56 S., 41 Bl. gr. 2'"	""	""	""	""	""	"2'@Kart. D 7145"	"1:KTA"	""	
"1833278461"	"4267582319"	"1931"	"Sirīn"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-19,22"	"1:KTA"	""	
"1833277236"	"4267577544"	"1931"	"Farwana"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-19,20"	"1:KTA"	""	
"183326035X"	"4267442878"	"1931"	"Hadera"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"18130144X: Hadera ; ID: gnd/4359263-6"	""	""	""	"Kart. D 7135-14,20"	"1:KTA"	""	
"183307436X"	"4262841561"	"1931"	"El Falūje"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-12,11"	"1:KTA"	""	
"1833073223"	"4262837440"	"1931"	"El Majdal"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-11,11"	"1:KTA"	""	
"1833071964"	"4262834506"	"1931"	"Ashkelon"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"104949112: Ashkelon ; ID: gnd/4229349-2"	""	""	""	"Kart. D 7135-10,11"	"1:KTA"	""	
"1833071409"	"4262832945"	"1931"	"Gaza"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"105999636: Gaza ; ID: gnd/4092680-1"	""	""	""	"Kart. D 7135-9,10"	"1:KTA"	""	
"1831621045"	"4250118770"	"1931"	"Kyrenia"	""	"[Southampton] : Ordnance Survey"	"1 Karte"	"74.19$jEuropa$XGeographie"	"106073745: Zypern ; ID: gnd/4079596-2; 104882549: Kyrenia ; ID: gnd/4238000-5"	""	""	""	"Kart. D 5997-12"	"1:KTA"	""	
"1816942340"	"4189981540"	"1931"	"Vogelschaubild von Palästina - Erez-Israel : ohne den Süddistrikt"	"Herrmann, Hugo"	"Zürich : Orell Füssli"	"1 Kt."	""	""	""	""	""	"Kart. D 7137"	"1:KTA"	""	
"1777066557"	"4000981714"	"1931"	"Jerusalem"	""	"[Southampton] : Ordnance Survey"	"1 Karte"	""	""	""	""	""	"Kart. D 7138-[3]"	"1:KTA"	""	
"1742335608"	"3820876774"	"1931"	"Map of Erez Israel"	""	"Jerusalem : Goldberg"	""	""	""	""	""	""	"Kart. D 7139"	"1:KTA"	""	
"1738260690"	"3794040481"	"1931"	"Isola di Piscopi"	""	"[Firenze] : Istituto geografico militare"	"1 Karte"	""	""	""	""	""	"Kart. D 5863"	"1:KTA"	""	
"173564773X"	"378011402X"	"1931"	"Nordwest-Pamir : Alai-Pamir-Expedition 1928 : Übersichtskarte des Expeditionsgebietes"	""	"Berlin : D. Reimer"	"1 Karte"	""	""	"Revision IIIC 2023"	""	""	"Kart. D 10378"	"4:KTA"	""	
"1735646040"	"3780110172"	"1931"	"Alai-Pamir-Expedition 1928 : Fedtschenko-Tanimasgebiet$dBlatt Nord, Blatt Süd ..."	""	"Berlin : D. Reimer"	"1 Karte auf 2 Blättern"	""	""	"Revision IIIC 2023"	""	""	"Kart. D 10379"	"4:KTA"	""	
"1696969174"	"3646588969"	"1931"	"Karta Aziatsskoj časti S.S.S.R"	""	"Moskva : Izdanie Giprogora RSFSR"	"1 Karte"	""	""	""	""	""	"Kart. D 2357"	"1:KTA"	""	
"1677729139"	"351796218X"	"1931"	"Damas S.-O. : amplification de la Carte de l'Etat Major Ottoman au 200 000e"	""	"Paris"	"1 Karte"	""	""	""	""	""	"Kart. D 7220"	"1:KTA"	""	
"1345148305"	"3740500174"	"1931"	"Environs d'homs"	""	"Paris : Service Géographique de l'Armée [u.a.]"	"1 Kt."	""	""	""	""	""	"Kart. D 7324"	"1:KTA"	""	
"1048233316"	"1847096093"	"1931"	"Central Asia"	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 1020-21<1931>"	"1:KTA"	""	
"1048222187"	"1846917549"	"1931"	"Malay Peninsula"	""	"[London] : War Office"	"1 Karte"	""	""	""	""	""	"Kart. D 1020-46<1931>"	"1:KTA"	""	
"829151974"	"1552013391"	"1931"	"Hama Ouest"	""	"Paris"	"1 Kt."	""	""	""	""	""	"Kart. D 6764-NI,37,19,2a<1931>"	"1:KTA"	""	
"829144218"	"1551997312"	"1931"	"Lattaquié"	""	"Paris"	"1 Kt."	""	""	""	""	""	"Kart. D 6764-NI,36,24,4b<1931>"	"1:KTA"	""	
"812792696"	"1514709325"	"1931"	"Zakho"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NJ,38,7<1931>"	"1:KTA"	""	
"812791401"	"1514706180"	"1931"	"Djebel-Seiss"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,8<1931>"	"1:KTA"	""	
"812791282"	"1514706008"	"1931"	"Zelaf"	""	"Beyrouth"	"1 Kt."	""	""	""	""	""	"Kart. D 6769-NI,37,2<1931>"	"1:KTA"	""	
"267772769"	"3729182757"	"1931"	"Türkiye Cumhuriyetinin vilâyet taksimatile şehirler arasindaki yol, orman ve madenleri irae eder haritadir"	""	"[Ankara] : Cumhuriyet Matbaasi"	"1 Kt."	""	""	""	""	""	"Kart. D 4682"	"1:KTA"	""	
"1833287150"	"4267597731"	"1930"	"[El Khālisa]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-20,29"	"1:KTA"	""	
"1833286936"	"4267597200"	"1930"	"[Qeitiya]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-20,28"	"1:KTA"	""	
"183328237X"	"4267595755"	"1930"	"[Lake Hūla]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"181375109: Lake Hula ; ID: gnd/4364796-0"	""	""	""	"Kart. D 7135-20,27"	"1:KTA"	""	
"1833281926"	"4267592055"	"1930"	"Samakh"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-20,23"	"1:KTA"	""	
"183328089X"	"4267588414"	"1930"	"Jisr el Majāmi'"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-20,22"	"1:KTA"	""	
"1833280199"	"4267586500"	"1930"	"Jisr esh sh. Husein"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-20,21"	"1:KTA"	""	
"1833279689"	"4267585385"	"1930"	"Es Safa"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-20,20"	"1:KTA"	""	
"183327895X"	"4267583323"	"1930"	"Kafr Kamā"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-19,23"	"1:KTA"	""	
"1833277864"	"4267579229"	"1930"	"Beisān"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-19,21"	"1:KTA"	""	
"1833274172"	"4267570604"	"1930"	"[Zir'in & Nūris]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-18,21"	"1:KTA"	""	
"1833273389"	"426756857X"	"1930"	"[Majd el Kūrūm]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-17,25"	"1:KTA"	""	
"1833272803"	"4267567352"	"1930"	"[Kaukab & Kafr Manda]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-17,24"	"1:KTA"	""	
"1833272242"	"4267565856"	"1930"	"[Es Sile]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-17,21"	"1:KTA"	""	
"1833271866"	"4267564906"	"1930"	"[Birwa & Tamra]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-16,25"	"1:KTA"	""	
"1833270533"	"4267561583"	"1930"	"'Arrāba"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-16,20"	"1:KTA"	""	
"1833269349"	"4267558256"	"1930"	"[El Mazra'a & es Smeirīye]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-15,26"	"1:KTA"	""	
"1833264029"	"4267451834"	"1930"	"[Quaffin & Bāqa el Gharbīye]"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-15,20"	"1:KTA"	""	
"1833262581"	"4267448124"	"1930"	"Tūlkarm"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"703044451: Tulkarm ; ID: gnd/4229569-5"	""	""	""	"Kart. D 7135-15,19"	"1:KTA"	""	
"1833262328"	"4267447136"	"1930"	"Et Taiyiba"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-15,18"	"1:KTA"	""	
"1833260074"	"4267442150"	"1930"	"Qaqūn"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-14,19"	"1:KTA"	""	
"1833250451"	"4267422524"	"1930"	"Et Tīre"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"151947791: Tira ; ID: gnd/4336863-3"	""	""	""	"Kart. D 7135-14,18"	"1:KTA"	""	
"1833249909"	"4267421234"	"1930"	"Qalqīlye"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-14,17"	"1:KTA"	""	
"1833247779"	"4267357897"	"1930"	"Er Ramle"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"104968850: Ramla ; ID: gnd/4226805-9"	""	""	""	"Kart. D 7135-13,14"	"1:KTA"	""	
"1833247531"	"4267357315"	"1930"	"Qezāze"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-13,13"	"1:KTA"	""	
"1833247434"	"4267356904"	"1930"	"Tell es Sāfi"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-13,12"	"1:KTA"	""	
"1833074939"	"4262843076"	"1930"	"El Maghār"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"1012692698: El Maghār ; ID: gnd/1151917303"	""	""	""	"Kart. D 7135-12,13"	"1:KTA"	""	
"1833074602"	"4262842282"	"1930"	"El Miesmīye el Kbīre"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-12,12"	"1:KTA"	""	
"1833074165"	"4262841197"	"1930"	"'Arab Sukreir"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-11,13"	"1:KTA"	""	
"1833073843"	"4262840425"	"1930"	"Hamāme"	""	"Jaffa : Survey Office"	"1 Karte"	"74.21$jAsien$XGeographie"	"106205765: Palästina ; ID: gnd/4044381-4"	""	""	""	"Kart. D 7135-11,12"	"1:KTA"	""	
