PPN; EPN; Jahr; Titel+Zusatz; Verfasser; Ort+Verlag; Umfang; Basisklassifikation; Schlagwort; ExKommentar4802; Schlagwort6800; Abrufzeichen8600; Signatur; Standort; URL588846694; 3979452271; 1933; Opisanie karty lensko-chatanskogo kraja po materialam Jakutskoj Ėkspedicii Akademii nauk SSSR; nan; Leningrad : Vsesojuznyj arktičeskij Institut [u.a.]; 1 Band (186 Seiten); nan; nan; nan; nan; nan; 4'@Kart. D 3281; 1:KTA; nan
1696969174; 3646588969; 1931; Karta Aziatsskoj časti S.S.S.R; nan; Moskva : Izdanie Giprogora RSFSR; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2357; 1:KTA; nan
1750545373; 388223685X; 1918; Sibirien mit europäischen u. asiatischen Gebieten Russlands; nan; Smíchov : V. Neubert; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 2332; 4:KTA; nan
169860825X; 3668769516; 1918; G. Freytags Karte von Sibirien; nan; Wien : G. Freytag & Berndt; 1 Karte; nan; nan; nan; nan; nan; 8“@Kart. D 2330; 1:KTA; nan
1686449755; 3572830443; 1918; Eisenbahn-Übersichtsskizze des asiatischen Russland; nan; [Berlin?] : [Generalstab?]; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 2334; 4:KTA; nan
069575339; 1720695318; 1918; Taschkent; nan; [Berlin] : Kgl. Preuß. Landesaufnahme; 1 Kt.; nan; nan; nan; nan; nan; Kart. D 2295-4; 1:KTA; nan
069575320; 1720695008; 1918; Kazalinsk; nan; [Berlin] : Kgl. Preuß. Landesaufnahme; 1 Kt; nan; nan; nan; nan; nan; Kart. D 2295-3; 1:KTA; nan
069575312; 1720695199; 1918; Meschhed; nan; [Berlin] : Kgl. Preuß. Landesaufnahme; 1 Kt; nan; nan; nan; nan; nan; Kart. D 2295-2; 1:KTA; nan
069575304; 1720694907; 1918; Chiwa; nan; [Berlin] : Kgl. Preuß. Landesaufnahme; 1 Kt.; nan; nan; nan; nan; nan; Kart. D 2295-1; 1:KTA; nan
1755629613; 3914234334; 1914; Russia in Asia : (Siberia); nan; [London] : Georg Philip & Son; 2 Karten auf 1 Blatt; nan; nan; nan; nan; nan; Kart. D 2315; 1:KTA; nan
1741190665; 3813348601; 1914; Economic map of the Russian Empire : prepared especially for R. Martens & Co.; nan; London : 'Geographia'; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2312; 1:KTA; nan
50617087X; 894853260; 1914; nan; nan; S. Peterburg; 4 S., 71 Bl., 24 S.; nan; nan; nan; nan; nan; 2'@Kart. D 2320; 1:KTA; nan
50617087X; 894853279; 1914; nan; nan; S. Peterburg; 4 S., 71 Bl., 24 S.; nan; nan; nan; nan; nan; 2'@Kart. D 2320<a>; 1:KTA; nan
144590476; 425207730; 1914; Priloženija; nan; St. Peterburg; CLV S.; nan; nan; nan; nan; nan; 4'@Kart. D 2320-3; 1:KTA; nan
144590476; 425988538; 1914; Priloženija; nan; St. Peterburg; CLV S.; nan; nan; nan; nan; nan; 4'@Kart. D 2320-3<a>; 1:KTA; nan
144590468; 425207722; 1914; Zemlja i chozjajstwo; nan; St. Peterburg; 638 S.; nan; nan; nan; nan; nan; 4'@Kart. D 2320-2; 1:KTA; nan
144590468; 42598852x; 1914; Zemlja i chozjajstwo; nan; St. Peterburg; 638 S.; nan; nan; nan; nan; nan; 4'@Kart. D 2320-2<a>; 1:KTA; nan
14459045X; 425207714; 1914; Ljudi i porjadki za Uralom; nan; St. Peterburg; VIII, 576, II S.; nan; nan; nan; nan; nan; 4'@Kart. D 2320-1; 1:KTA; nan
14459045X; 425988511; 1914; Ljudi i porjadki za Uralom; nan; St. Peterburg; VIII, 576, II S.; nan; nan; nan; nan; nan; 4'@Kart. D 2320-1<a>; 1:KTA; nan
1756095353; 3918587134; 1913; Tektonische Karte des Kalbinski-Gebirges in Westsibirien; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2932; 1:KTA; nan
1776250354; 3999280468; 1912; Karte des Pamir; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3395; 1:KTA; nan
1783573325; 4026648125; 1910; Stanford's map of the Siberian Railway : the great land route to China and Korea; nan; London : Edward Stanford; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2308; 1:KTA; nan
1783573325; 402664815X; 1910; Stanford's map of the Siberian Railway : the great land route to China and Korea; nan; London : Edward Stanford; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2308<a>; 1:KTA; nan
1787397602; 404708834X; 1909; Ostrov Sachalin : semla rudnicnago raiona Snital v 1909 godu...; nan; [St. Petersburg] : Kartografičeskoe zavedenie A. Ilʹina; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3423; 1:KTA!; nan
1700547356; 3687060063; 1908; Specialnaja karta vostočno-aziatskoj časti SSSR : s prilegajuščimi k nemu gosudarstvani; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; Karten; nan; nan; Revision IIIC 2020; nan; nan; Kart. D 2311; 4:KTA; nan
1783573252; 402664801X; 1907; Stanford's map of the Siberian Railway : the great land route to China and Korea; nan; London : Edward Stanford; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2307<1907>; 1:KTA; nan
1777480752; 4002291715; 1905; Voenno dorožnaja karta Azijatskoj Rossii; Ilʹin, Aleksej Afinogenovič *1832-1889* ; ID: gnd/1089307551; S. Peterburg : Voenno-Topografičeskij Otdel; 1 Karte auf 15 Blättern; nan; nan; nan; nan; nan; Kart. D 2275; 1:KTA; nan
1743012071; 3826162285; 1905; Map of the country round Vladivostok; nan; [London] : [War Office]; 1 map; nan; nan; nan; nan; nan; Kart. D 3750; 1:KTA; nan
1700557386; 3687239039; 1905; Specialnaja desjativerstnaja karta zapadnoj Sibiri; nan; [Omsk] : [Sibirski Voenno-Topografičeski Otdel]; Karten; nan; nan; Revision IIIC 2020; nan; nan; Kart. D 2310; 4:KTA; nan
668273658; 1268788848; 1905; Karta Morskich' promijslov' južnago Sachalina : k' knigij P. Ju. Schmidta 'Morskie promijslij o Sachalin'; nan; [Moskau]; 1 Kt.; nan; nan; nan; Provenienz: Bundesforschungsanstalt für Landeskunde und Raumordnung <Bonn>; |k|Bundesforschungsanstalt für Landeskunde und Raumordnung <Bonn>; nan; Kart. D 3422; 1:KTA; nan
1783573198; 4026647927; 1904; Stanford's map of the Siberian Railway : the great land route to China and Korea; nan; London : Edward Stanford; 1 map; nan; nan; nan; nan; nan; Kart. D 2307; 1:KTA; nan
1738569705; 3801025128; 1904; [Wladiwostok und Umgebung]; nan; S. Peterburg : Kartogr. zav. A. Il'ina; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3748; 1:KTA; nan
1686691556; 3573373682; 1904; Karta tobolskoj gubernii; nan; St. Petersburg; 2 Karten; nan; nan; nan; nan; nan; Kart. D 3584; 1:KTA; nan
1686691556; 3573373690; 1904; Karta tobolskoj gubernii; nan; St. Petersburg; 2 Karten; nan; nan; nan; nan; nan; 8'@Kart. D 3584; 1:KTA; nan
1698680341; 3669902570; 1901; Karta putej soobščenija Aziatskoj Rossii; Карта путей сообщенìя Азìатской Россìи : Изданìе министерства путей сообщенìя; nan; Saint-Petersbourg : A. Iline; 1 Karte auf 3 Blättern; nan; nan; nan; nan; nan; Kart. D 2304; 1:KTA; nan
1698680309; 3669902392; 1899; Karta putej soobščenija Aziatskoj Rossii; Карта путей сообщенìя Азìатской Россìи : Изданìе министерства путей сообщенìя; nan; Saint-Petersbourg : A. Il'in; 1 Karte auf 3 Blättern; nan; nan; nan; nan; nan; Kart. D 2302; 1:KTA; nan
1748689282; 3864083125; 1897; Russisch-Asien und Franz-Josef-Land : zur Übersicht der Sibirisch-Mandschurischen Eisenbahn und der Aufnahmen von F. Nansen 1893/6, F. Jackson 1894/6 und A. Wilkitzki 1894/5 ; Ausschnitt aus: H. Berghaus' 'Chart of the World', 12. Aufl.; nan; Gotha : Justus Perthes; 1 Kt.; nan; nan; Nachlass Kiepert No. 2336; Revision IIIC 2023; nan; nan; Kart. D 2296; 4:KTA; nan
1742840310; 3825722791; 1897; Reiseweg von Dr. G. Huth im Jenissei-Gebiet; nan; Berlin : Geographisch-lithographische Anstalt; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2835; 1:KTA; nan
1782230475; 402042005X; 1895; Wasserstrassen-Verbindungen in Sibirien : nach den Projekten von A. Ssibiriakoff.; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; Nachlass Kiepert No. 3337; Revision IIIC 2023; nan; nan; Kart. D 2295/9; 1:KTA; nan
1755998864; 3918093107; 1895; Zakaspijskoj oblastʹ i Persii; nan; [Sanktpeterburg?] : [Verlag nicht ermittelbar]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3594; 1:KTA; nan
415167647; 421889470; 1895; Karta Azijatskoj Rossii; nan; [Sanktpeterburg:] Izd. v Kartograf. Zavedenii Voenno-Topograj. Otděla Glavnago Štaba; 4 Bl.; nan; nan; nan; nan; nan; Kart. D 2299; 1:KTA; nan
1787953807; 4048853856; 1890; [Taimyr-See mit Umgebung]; nan; nan; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3568; 4:KTA; nan
1667645897; 3488354962; 1890; Chung-O-chiao-chich-ch'üan-t'u; nan; [Erscheinungsort nicht ermittelbar] : [Verlag nicht ermittelbar]; 1 Karte auf 2 Blättern; nan; nan; nan; nan; nan; Kart. D 2287; 1:KTA; nan
1028348010; 1791743234; 1890; [Baikal und Nertschinsk]; nan; S.l.; 2 Kartenblätter; nan; nan; nan; nan; nan; Kart. D 2694; 1:KTA; nan
1745824316; 384344305X; 1888; Karte der Neusibirischen Inseln und des Jana Landes; nan; [Berlin]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3334; 1:KTA; nan
1701725894; 3669898565; 1888; nan; nan; [Moskva]; Karten; nan; nan; nan; nan; nan; Kart. D 2294; 1:KTA; nan
1700459139; 3685839527; 1888; Karte der Neusibirischen Inseln und des Jana-Landes : Zur Übersicht der Reiserouten einer von Alexander Bunge u. Baron Eduard Toll 1885 u. 1886 ausgeführten Expedition der Kaiserl. Russ. Akademie der Wissenschaften nebst Angabe der Routen früherer Reisender; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3333; 1:KTA; nan
1696941776; 3646422017; 1886; Karta verchov'ev Amu-Dar'i; nan; [Moskva]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2442; 1:KTA; nan
1698848307; 3671359390; 1885; Karta zakaspiiskoj oblasti; nan; [Place of publication not identified] : Voenno-topograficheskiĭ Otdi︠e︡l Kavkazskago voennogo okruga; 1 Karte auf 9 Blätter; nan; nan; nan; nan; nan; Kart. D 3591; 1:KTA; nan
1844077179; 4317253305; 1884; Karta Aziatskoj Rossii : c' prilegajušimi k' nej vladěnijami; nan; Sankt Peterburg : [Voenno-Topografičes. Depo]; 1 Karte auf 8 Blättern; nan; nan; nan; nan; nan; Kart. D 2290/1; 1:KTA; nan
1700573683; 3687281078; 1884; A. Regels Reise in Darwas : November & Dezember 1883; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 2790; 4:KTA; nan
1700496131; 3686598639; 1884; Merw und das Russisch-Persische Grenzgebiet : nach den neuesten Quellen; nan; Gotha : Justus Perthes; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 3320; 4:KTA; nan
434652458; 402179269; 1884; Karta Azijatskoj Rossii s prilegajuščimi k nej vladěnijami (100 verst v djujmě); nan; (St. Petersburg); 1 Kt.; nan; nan; nan; nan; nan; Kart. D 2291/1; 1:KTA; nan
434652458; 3669930876; 1884; Karta Azijatskoj Rossii s prilegajuščimi k nej vladěnijami (100 verst v djujmě); nan; (St. Petersburg); 1 Kt.; nan; nan; nan; nan; nan; Kart. D 2291; 1:KTA; nan
1700601806; 3687346757; 1883; Karta Aziatskoj Rossii : c' prilegajušimi k' nej vladěnijami; nan; Sankt Peterburg : [Voenno-Topografičes. Depo]; 1 Karte auf 8 Blättern; nan; nan; nan; nan; nan; Kart. D 2290; 1:KTA; nan
175687302X; 3921019400; 1882; A map of the Russo-Persian frontier to illustrate the journey to Merv; O'Donovan, Edmond; London : Smith, Elder & Co; 1 Karte; nan; nan; Revision IIIC 2023; nan; nan; Kart. D 2288; 4:KTA; nan
1748695916; 386417533X; 1882; Specialkarte der neuen russisch-persischen Grenze und der Oase Merv; nan; Gotha : Justus Perthes; 1 Kt.; nan; nan; Nachlass Kiepert No. 3305; nan; nan; Kart. D 3562; 4:KTA; nan
173684217X; 3788127813; 1881; Karte von Achal-Teke und Merw; nan; Berlin : E.S. Mittler & Sohn; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2392; 1:KTA; nan
1750402394; 3881414487; 1880; Karta Turkestanskago general gubernatorstva : Chivinskago, Burckarskago i Kokanskago Chanstv' : c' pogrsničymi častjami srednej Azīi; nan; [Saint Petersburg] : Izdanīe Kartograficheskago Zavedenie A. Ilʹina; [Saint Petersburg] : Изданіе Картографическаго заведенія А. Ильина; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3644; 1:KTA; nan
1667645501; 348835413X; 1880; Chung-O-chiao-chich-ch'üan-t'u; nan; [Erscheinungsort nicht ermittelbar] : [Verlag nicht ermittelbar]; 1 Karte auf 35 Blättern; nan; nan; nan; nan; nan; Kart. D 2285/1; 1:KTA; nan
1667645250; 3488353559; 1880; Chung-O-chiao-chich-ch'üan-t'u; nan; [Erscheinungsort nicht ermittelbar] : [Verlag nicht ermittelbar]; 1 Karte auf 35 Blättern; nan; nan; nan; nan; nan; 2'@Kart. D 2285; 1:KTA; nan
1700597760; 3687334740; 1879; Specialkarte von Nord-Sibirien zwischen Lena und Beringstrasse mit Nordenskiölds Kurs im Dampfer 'Vega'; nan; Gotha : Justus Perthes; Gotha : Hellfarth; 1 Karte; nan; nan; nan; nan; nan; Kart. D 3370; 4:KTA; nan
1700597078; 3687333302; 1879; Specialkarte von Nord-Sibirien zwischen Lena und Beringstrasse in 2 Blatt; nan; Gotha : Justus Perthes; Gotha : Hellfarth; 1 Karte auf 2 Blättern; nan; nan; nan; nan; nan; Kart. D 3369; 1:KTA; nan
129602507; 418533946; 1879; A. Petermann's Mitteilungen aus Justus Perthes' Geographischer Anstalt; nan; Gotha [u.a.] : Perthes; nan; 74.00$jGeographie$jAnthropogeographie: Allgemeines; 104394285: Geografie ; ID: gnd/4020216-1; nan; nan; nan; 4'@Kart. D 3426; 1:KTA; nan
169694158X; 3646421460; 1878; Karta verchov'ev Amu-Dar'i; nan; [Moskva]; 1 Karte; nan; nan; nan; nan; nan; Kart. D 2440; 1:KTA; nan
